Route stop,Business,Address,Phone,Category,Owned website search status,Raw owned-site candidate,Search evidence
753,Phở Pasteur,"31860 Alvarado Boulevard, Union City, CA, 94587",(510) 441-7130,restaurant,ATTEMPTED - search error,,ERROR: No results found.
754,Dragon House,"31870 Alvarado Boulevard, Union City, CA, 94587",(510) 477-8868,restaurant,ATTEMPTED - no likely owned-site hit,,"Bright N' Clean Laundromat - San Francisco, CABright N' Clean Laundromat, 2900 Taraval St, San Francisco ...Bright N' Clean Laundromat San Francisco CA, 94116 - MantaBright N’ Clean Laundromat – A Best Laundromat in San ...Bright N' Clean Laundromat - Overview, News & Competitors ...Bright N' Clean Laundromat - 2900 Taraval St, San Francisco ... (yelp.com) | Bright N' Clean Laundromat, 2900 Taraval St, San Francisco ... (mapquest.com) | Bright N' Clean Laundromat San Francisco CA, 94116 - Manta (manta.com) | Bright N’ Clean Laundromat – A Best Laundromat in San ... (laundromatnear.me) | Bright N' Clean Laundromat - Overview, News & Competitors ... (zoominfo.com)"
755,Lechon Manila,"32104 Alvarado Boulevard, Union City, CA, 94587",(510) 429-8911,restaurant,ATTEMPTED - no likely owned-site hit,,"GENTLE NAILS SALON - San Francisco CA - Hours, Directions ...Gentle Nails Salon in San Francisco, CA 94122 - 415-702...Gentle Nails Salon – Map Contact ViewGentle Nails Salon - 1414 9th Ave, San Francisco, CA 94122 ...GENTLE NAILS SALON - Updated August 2024 - 482 Photos & 291 ...Gentle Nails Salon - San Francisco, CA 94122 - Services and ...Gentle Nails Salon - 61 Reviews - Beauty in San Francisco, CA ... (loc8nearme.com) | Gentle Nails Salon in San Francisco, CA 94122 - 415-702... (chamberofcommerce.com) | Gentle Nails Salon – Map Contact View (map.contact) | GENTLE NAILS SALON - Updated August 2024 - 482 Photos & 291 ... (yelp.com) | Gentle Nails Salon - San Francisco, CA 94122 - Services and ... (salondiscover.com)"
756,New York Pizza & Kabob,"32106 Alvarado Boulevard, Union City, CA, 94587",(510) 477-8888,restaurant,ATTEMPTED - search error,,ERROR: No results found.
757,Cấm Hương Sandwiches,"32124 Alvarado Boulevard, Union City, CA, 94587",(510) 441-0590,restaurant,ATTEMPTED - search error,,ERROR: No results found.
758,King Calamari,"32130 Alvarado Boulevard, Union City, CA, 94587",(510) 489-8221,restaurant,ATTEMPTED - search error,,ERROR: No results found.
759,Delicious Donuts,"34916 Newark Boulevard, Newark, CA, 94560",(510) 574-1955,fast_food,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
760,Los Gallos Taqueria,"6160 Jarvis Avenue, Newark, CA, 94560",(510) 894-1729,fast_food,ATTEMPTED - search error,,ERROR: No results found.
761,Chopsticks Pho & Grill,"6180 Jarvis Avenue, Newark, CA, 94560",(510) 793-9888,restaurant,ATTEMPTED - search error,,ERROR: No results found.
762,Jade Palace Restaurant,"36601 Newark Boulevard, Newark, CA, 94560",(510) 792-5456,restaurant,ATTEMPTED - search error,,ERROR: No results found.
763,Tucker Method,"5268 Central Avenue, Fremont, CA, 94536",(510) 578-8155,fitness_centre,ATTEMPTED - search error,,ERROR: No results found.
764,Dino's,"36930 Fremont Boulevard, Fremont, CA, 94536",(510) 792-6533,restaurant,ATTEMPTED - no likely owned-site hit,,Melissa's Taqueria Brisbane CA American Restaurant opening hours... (openingtimes.co)
765,Stela's Hair Salon,"37477, Fremont",(510) 791-7198,hairdresser,ATTEMPTED - no likely owned-site hit,,"Beauty Salons | South San Francisco, CA - Manta.com (manta.com) | Hair care in South San Francisco (south-san-francisco.calstatedir.com)"
766,Sleek Salon,"38990 Paseo Padre Parkway, Fremont, 94538",(510) 790-2600,beauty,ATTEMPTED - search error,,ERROR: No results found.
767,Sushi Ken,39156 Paseo Padre Parkway,(510) 894-1698,restaurant,ATTEMPTED - search error,,ERROR: No results found.
768,Doan's Hair & Spa,"3367 Walnut Avenue, 94538",(510) 793-6706,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
769,"Amy B. Wong, D.D.S.",39358 Fremont Boulevard,(510) 818-1891,dentist,ATTEMPTED - search error,,ERROR: No results found.
770,Top Hair Cut & Salon,"39435 Fremont Boulevard, Fremont, CA",(510) 657-7197,hairdresser,ATTEMPTED - no likely owned-site hit,,"De Design Beauty Salon, 289 Broadway, Millbrae, CA 94030, US ... (mapquest.com) | Unravel Design at 285 Broadway, Millbrae, CA 94030 (millbrae.calstatedir.com) | De Design Beauty Salon, Millbrae — ที่อยู่, โทรศัพท์, ความคิดเห็น (directmap.us) | DE DESIGN BEAUTY SALON - Millbrae CA - Hours, Directions ... (loc8nearme.com) | De Design Beauty Salon in Millbrae, CA 94030 - 650-697...De Design Beauty Salon - Millbrae, CADe Design Beauty Salon - Millbrae, CA 94030 - The Real Yellow ...DE Design Beauty Salon, Millbrae, CA - Reviews (40), Photos ...De Design Beauty Salon, 289 Broadway, Millbrae, CA 94030, US ...Whitepages: Find People, Phone Numbers & Addresses (chamberofcommerce.com)"
771,De Ala Dental,"39453 Fremont Boulevard, Fremont, CA",(510) 657-8907,dentist,ATTEMPTED - no likely owned-site hit,,"V & V Nails, 220 Broadway, Millbrae, CA 94030, US - MapQuest (mapquest.com)"
772,L'Amour Nails,"39477 Fremont Boulevard, Fremont, CA",(510) 770-9300,beauty,ATTEMPTED - search error,,ERROR: No results found.
773,Max Nunez CPA,"41255 Fremont Boulevard, Fremont, CA, 94538",(510) 656-3898,accountant,ATTEMPTED - no likely owned-site hit,,"Izakaya MAI San Mateo CA, 94401 – Manta.com (manta.com) | Izakaya Mai San Mateo CA Asian Restaurant opening hours and ... (openingtimes.co) | Izakaya Restaurant in San Mateo, CA Ask for free quotes (cylex.us.com) | San Carlos White Pages - Phone Books in California (CA ...Additional Case Information - California Department of ...Home | CaltrainProperty Tax Look-up | San Mateo County Assessor-County Clerk ... (whitepages.com) | Additional Case Information - California Department of ... (dir.ca.gov)"
774,Young Beauty Salon,"41255 Fremont Boulevard, Fremont, CA, 94538",(510) 683-0709,beauty,ATTEMPTED - search error,,ERROR: No results found.
775,Pho Saigon Pasteur,"43460 Grimmer Boulevard, Fremont, CA",(510) 249-9902,restaurant,ATTEMPTED - search error,,ERROR: No results found.
776,CT Nails & Spa,"43496 Grimmer Boulevard, Fremont, CA",(510) 226-9909,beauty,ATTEMPTED - no likely owned-site hit,,"Bucky's Cocktail Lounge at 101 South Boulevard, San Mateo, CA... (san-mateo.calstatedir.com)"
777,Red Pot,2090 Warm Springs Court,(510) 573-3965,restaurant,ATTEMPTED - search error,,ERROR: No results found.
778,Lok Nails,46584 Mission Blvd,(510) 258-7459,beauty,ATTEMPTED - search error,,ERROR: No results found.
779,Star Salon,"46164 Warm Springs Boulevard, Fremont, CA, 94539",(510) 396-0303,beauty,ATTEMPTED - search error,,ERROR: No results found.
780,"Richard My Ta, D.D.S., Inc.","46228 Warm Springs Boulevard, Fremont, CA, 94539",(510) 573-3286,dentist,ATTEMPTED - no likely owned-site hit,,"Pilgrim Kitchen Menu in Belmont, CA | Order Delivery & Reviews (menupix.com) | Best 30 Pies in Moss Beach, CA with Reviews | The Real Yellow Pages (yellowpages.com) | Pilgrim Kitchen Belmont CA Dessert Shop opening hours and reviews (openingtimes.co) | Pilgrim Kitchen - Belmont, CA 94002 - The Real Yellow Pages (yellowpages.com) | Pilgrim Kitchen in Belmont, CA 94002 - (650) 4...Pilgrim Kitchen in Belmont, CA, 311 El Camino Real.Online Menu of Pilgrim Kitchen Restaurant, Belmont ...PILGRIM KITCHEN, Belmont - Restaurant Reviews, Photos & Phone ...Pilgrim Kitchen, Belmont - 311 El Camino Real - Menu and PricesPilgrim Kitchen menu - Belmont CA 94002 - (877) 585-1085 (chamberofcommerce.com)"
781,A+ Hk Style Cafe,"46260 Warm Springs Boulevard, Fremont, CA",(510) 226-9168,restaurant,ATTEMPTED - no likely owned-site hit,,"Bright Now Dental - CLOSED, 570 Masonic Way, Belmont, CA 94002... (mapquest.com) | Belmont Dental - Ramiro Mancias DDS ... BELMONT COUNTRY... (bizstanding.com) | Belmont Dental – Belmont, CA – 570 Masonic Way (hoursmap.com) | Individual/Family Plan or Costco Group Dental Plan (ehealthinsurance.com) | Delta Dental Providers Northern CA | PDF (slideshare.net)"
782,Sean's Barber Shop,46543 Mission Blvd,(510) 252-0924,hairdresser,ATTEMPTED - no likely owned-site hit,,"Michele's Hair Care, Belmont, CA - 1201 Sixth Ave. - Beauty ... (whereorg.com) | Artistry Salon Inc. in Belmont, CA - (650) 593-0584 - Company ... (buzzfile.com) | Michele's Hair Care - CLOSED, 1201 Sixth Ave, Belmont, CA ... (mapquest.com) | MICHELE’S HAIR CARE - CLOSED - Updated May 2026 - YelpGoogleMichelle's Hair Care Studio - FacebookMichele’s Hair Boutique (@micheleshairboutique) - Instagram (yelp.ca) | Michelle's Hair Care Studio - Facebook (facebook.com)"
783,Little Taipei Café,"46897 Warm Springs Boulevard, Fremont, CA, 94539",(510) 657-8488,restaurant,ATTEMPTED - search error,,ERROR: No results found.
784,Vincent Liang Dentistry,"106 Dixon Road, Milpitas, CA, 95035",(408) 934-1200,dentist,ATTEMPTED - search error,,ERROR: No results found.
785,OP Beautiful Nails Spa,"58 Dixon Road, Milpitas, CA, 95035",(408) 263-9653,beauty,ATTEMPTED - search error,,ERROR: No results found.
786,Beauty Touch,"54 Dixon Road, Milpitas, CA, 95035",(408) 946-8945,beauty,ATTEMPTED - search error,,ERROR: No results found.
787,Shing's Hair Studio,"1840 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 262-6689,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
788,Gao's Kabob & Crab,"1741 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 708-7906,restaurant,ATTEMPTED - search error,,ERROR: No results found.
789,Chick & Tea,"1723 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 770-2268,restaurant,ATTEMPTED - no likely owned-site hit,,"Imagine Beauty Salon - Union City, CA 94587 - Services and ... (salondiscover.com) | Imagine Beauty Salon in Union City, CA 94587 - 510-489... (chamberofcommerce.com) | Imagine Beauty Salon - 31 Reviews - Beauty in Union City, CA ... (reviews.birdeye.com) | IMAGINE BEAUTY SALON - 26 Photos & 28 Reviews - YelpIMAGINE BEAUTY SALON - Union City CA - Hours, Directions ...Imagine Beauty Salon, 1775 Decoto Rd, Union City, CA 94587 ...Immaging Beauty Salon - Union City, CA (California) - (510 ... (yelp.com) | IMAGINE BEAUTY SALON - Union City CA - Hours, Directions ... (loc8nearme.com)"
790,Bliss Beauty & Spa,"1478 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 262-5075,beauty,ATTEMPTED - search error,,ERROR: No results found.
791,Allianace Dental Center,"1474 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 946-1397,dentist,ATTEMPTED - search error,,ERROR: No results found.
792,Loved And Lashed,"1468 North Milpitas Boulevard, Milpitas, CA",(510) 789-7478,beauty,ATTEMPTED - no likely owned-site hit,,"Welcome to Kim's Hair & Nails – (kimhairnails.com) | Kim Hair & Nails & Brow Beauty in Union City, CA 94587 - 510 ...Kim's Hair & Nails in Union City, CA – Reviews, Hours, and ...Kim's Hair & Nails in Union City, California - ZaubeeKIM’S HAIR & NAILS - Updated March 2026 - 59 Photos & 59 ...Kim's Hair & Nails - Union City, CA 94587 - The Real Yellow PagesKim's Hair & Nails, 34547 Alvarado Niles Rd, Union City, CA ... (chamberofcommerce.com) | Kim's Hair & Nails in Union City, CA – Reviews, Hours, and ... (local.yahoo.com) | Kim's Hair & Nails in Union City, California - Zaubee (zaubee.com) | KIM’S HAIR & NAILS - Updated March 2026 - 59 Photos & 59 ... (yelp.com)"
793,I Nails,"353 Jacklin Road, Milpitas, CA, 95035",(408) 946-1800,beauty,ATTEMPTED - no likely owned-site hit,,"Chinese Restaurants in Union City, CA: Chinese Restaurants in Bay... (valleywalk.com)"
794,MM Barbershop,"465 Jacklin Road, Milpitas, CA, 95035",(408) 649-3434,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
795,The Pizza Box,"1253 Jacklin Road, Milpitas, CA, 95035",(408) 946-6521,restaurant,ATTEMPTED - no likely owned-site hit,,"Bar Bay Grill Union City CA, 94587 – Manta.com (manta.com) | Bar Bay Grill 1784 Decoto Road, Union City, CA 94587 | Union City... (dealmoon.com) | Premier Food Safety — Establishment and food at 1684 Decoto Road... (union-city-ca.california-pages.com) | Link to facebook.com (facebook.com)"
796,Chez Christina,"1339 Jacklin Road, Milpitas, CA, 95035",(408) 263-2220,restaurant,ATTEMPTED - search error,,ERROR: No results found.
797,Victoria Hair & Nails,"96 South Park Victoria Drive, Milpitas, CA, 95035",(408) 493-5160,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
798,AAA Dental Care;先進牙醫中心,"40 North Park Victoria Drive, Milpitas, CA",(408) 942-9112,dentist,RAW HIT REVIEWED - not confirmed owned site,https://balentineplazadentalcare.com/,"Dr. Kevin (Huang) Cheng, DDS | Balentine Plaza Dental Care... (zocdoc.com) | Balentineplazadentalcare.com Site (topsitessearch.com) | Dentist in Newark - reviews, addresses and phone numbers (newark-ca.california-list.com) | Dentist in Newark, CA | Balentine Plaza Dental Care (balentineplazadentalcare.com)"
799,Christy's Donuts,"1291 East Calaveras Boulevard, Milpitas, CA, 95035",(408) 942-1933,fast_food,ATTEMPTED - search error,,ERROR: No results found.
800,Be My Nails,"1281 East Calaveras Boulevard, Milpitas, CA, 95035",(408) 946-6245,beauty,ATTEMPTED - search error,,ERROR: No results found.
801,BBH Noodle,"1203 East Calaveras Boulevard, Milpitas, CA, 95035",(408) 263-8985,restaurant,ATTEMPTED - search error,,ERROR: No results found.
802,Calaveras Family Dentistry,"79 Dempsey Road, Milpitas, CA, 95035",(408) 263-0900,dentist,ATTEMPTED - search error,,ERROR: No results found.
803,Tina's Hair Design,"31 South Park Victoria Drive, Milpitas, CA, 95035",(408) 946-5234,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
804,Park Victoria Dental,"33 South Park Victoria Drive, Milpitas, CA, 95035",(408) 942-1000,dentist,ATTEMPTED - search error,,ERROR: No results found.
805,King Chicken Wing,"South Park Victoria Drive, Milpitas, California, 95035 (reverse-geocoded approximate)",(408) 262-8730,restaurant,RAW HIT REVIEWED - not confirmed owned site,https://obituaries.pleasantonweekly.com/,Pleasanton | Mr. Sun Tea USA (mrsunteausa.com) | PleasantonWeekly.com - Lasting Memories (obituaries.pleasantonweekly.com)
806,Modern Image,"98 Dempsey Road, Milpitas, CA",(408) 935-8889,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
807,Radiant Dental,"10 South Hillview Drive, Milpitas, CA, 95035",(408) 719-1643,dentist,ATTEMPTED - search error,,ERROR: No results found.
808,Luu New Tung Kee Noodle,"481 East Calaveras Boulevard, Milpitas, CA, 95035",(408) 263-8288,restaurant,ATTEMPTED - search error,,ERROR: No results found.
809,Jeanne's Nail Spa,"111 Beresford Court, Milpitas, CA, 95035",(408) 956-5555,beauty,ATTEMPTED - search error,,ERROR: No results found.
810,Taiwan Cafe,"568 North Abel Street, 95035",(408) 586-8885,restaurant,ATTEMPTED - no likely owned-site hit,,"THE JELLY DONUT, Pleasanton - 2897 Hopyard Rd... - Tripadvisor (tripadvisor.com) | Bakery in Pleasanton (pleasanton.calstatedir.com)"
811,Donut Basket,"242 North Abel Street, Milpitas, CA, 95035",(408) 649-3314,fast_food,ATTEMPTED - search error,,ERROR: No results found.
812,Sen Dai Sushi,"224 North Abel Street, Milpitas, CA, 95035",(408) 263-1472,restaurant,ATTEMPTED - no likely owned-site hit,,"Skin Care in Pleasanton, CA (ilookbetter.com)"
813,Taste Good Beijing Duck,"82 South Abel Street, Milpitas, CA, 95035",(408) 262-9439,restaurant,ATTEMPTED - search error,,ERROR: No results found.
814,Bleu de Beaute,"61 Serra Way, Milpitas, CA, 95035",(408) 203-3179,beauty,ATTEMPTED - no likely owned-site hit,,"Haveli Indian Cuisine at 4582 Dublin Boulevard, Dublin, CA 94568 (dublin.calstatedir.com) | Haveli Indian Cuisine - Dublin, California (wikimapia.org) | Blog | Our Companyzenergyworks.com | Page 4 (zenergyworks.com)"
815,Sonam House Of Indian Fashion,"300 South Abel Street, Milpitas, CA, 95035",(408) 262-2938,clothes,ATTEMPTED - no likely owned-site hit,,"Athens Burgers - Visit Tri-Valley (visittrivalley.com) | Athens Burgers Restaurant - Dublin, CAAthens Burger Restaurant in Dublin, CA 94568 - 925-803...Athens Burger Restaurant, 6999 Dublin Blvd, Dublin, CA 94568 ...Athens Burger Restaurant, Dublin - Menu, Reviews (205 ...Athens Burger Restaurant Menu – Dublin, CAgoogle maps (yelp.com) | Athens Burger Restaurant in Dublin, CA 94568 - 925-803... (chamberofcommerce.com) | Athens Burger Restaurant, 6999 Dublin Blvd, Dublin, CA 94568 ... (mapquest.com) | Athens Burger Restaurant, Dublin - Menu, Reviews (205 ...Athens Burger Restaurant Menu – Dublin, CAgoogle maps (restaurantji.com)"
816,Serra Barber Shop,"200 Serra Way, Milpitas, CA, 95035",(408) 509-5514,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
817,Hair Day - The Korean Salon,"221 West Calaveras Boulevard, Milpitas, CA, 95035",(408) 726-5979,hairdresser,ATTEMPTED - no likely owned-site hit,,"Falafel Village - Dublin, CA 94568 - The Real Yellow PagesFalafel Village | Amador Valley Blvd, Dublin, CAFALAFEL VILLAGE, Dublin - Restaurant Reviews, Photos & Phone ...Falafel Village | 7410-B Amador Valley Blvd, Dublin, CA 94568 ...Falafel Village menu - Dublin CA 94568 - (925) 248-2253Falafel Village - HalalRunFALAFEL VILLAGE, Dublin - Photos & Restaurant Reviews - Food ... (yellowpages.com) | Falafel Village | Amador Valley Blvd, Dublin, CA (b2byellowpages.com) | FALAFEL VILLAGE, Dublin - Restaurant Reviews, Photos & Phone ...Falafel Village | 7410-B Amador Valley Blvd, Dublin, CA 94568 ...Falafel Village menu - Dublin CA 94568 - (925) 248-2253Falafel Village - HalalRunFALAFEL VILLAGE, Dublin - Photos & Restaurant Reviews - Food ... (tripadvisor.com) | Falafel Village | 7410-B Amador Valley Blvd, Dublin, CA 94568 ...Falafel Village menu - Dublin CA 94568 - (925) 248-2253Falafel Village - HalalRunFALAFEL VILLAGE, Dublin - Photos & Restaurant Reviews - Food ... (usarestaurants.info) | Falafel Village menu - Dublin CA 94568 - (925) 248-2253 (allmenus.com)"
818,Ann Hong Vietnamese Restaurant,"233 West Calaveras Boulevard, Milpitas, CA, 95035",(408) 946-9046,restaurant,ATTEMPTED - no likely owned-site hit,,"We bring to your attention the most complete list of Hair care in Dublin (dublin.calstatedir.com) | Famous Hair & Nails in Dublin, CA 94568 - 925-479... (chamberofcommerce.com) | Map and Directions to Famous Hair & Nails in Dublin, CA 94568FAMOUS HAIR & NAILS - Updated May 2026 - 168 Photos & 86 ...FAMOUS HAIR & NAILS - Dublin CA - Hours, Directions, Reviews ...Famous Hair & Nails | Nail Salon | DublinFamous Hair & Nails - 7139 Amador Plaza Rd, Dublin, CA 94568 ...Famous Hair - Dublin, CA 94568 - The Real Yellow Pages (merchantcircle.com) | FAMOUS HAIR & NAILS - Updated May 2026 - 168 Photos & 86 ...FAMOUS HAIR & NAILS - Dublin CA - Hours, Directions, Reviews ...Famous Hair & Nails | Nail Salon | DublinFamous Hair & Nails - 7139 Amador Plaza Rd, Dublin, CA 94568 ...Famous Hair - Dublin, CA 94568 - The Real Yellow Pages (yelp.com) | FAMOUS HAIR & NAILS - Dublin CA - Hours, Directions, Reviews ... (loc8nearme.com)"
819,Angel Nails Spa,"259 West Calaveras Boulevard, Milpitas, CA, 95035",(408) 262-2587,beauty,ATTEMPTED - search error,,ERROR: No results found.
820,El Alazan Grill,"75 South Abbott Avenue, Milpitas, CA, 95035",(408) 649-3124,restaurant,ATTEMPTED - no likely owned-site hit,,"Mad For Sushi – Best Japanese Experience in Dublin (madforsushi.com) | Mad For Sushi - Dublin, CAMad for Sushi in Dublin, CA – Reviews, Hours, and ... - YahooMad For Sushi in Dublin, CA United States - Apple MapsMAD FOR SUSHI - Sushi SeekMAD FOR SUSHI, Dublin - Menu, Reviews (108), Photos (31 ...Mad For Sushi, Dublin | Roadtrippers (yelp.com) | Mad for Sushi in Dublin, CA – Reviews, Hours, and ... - Yahoo (local.yahoo.com) | Mad For Sushi in Dublin, CA United States - Apple Maps (maps.apple.com) | MAD FOR SUSHI - Sushi Seek (sushiseek.com)"
821,Jiuding Flavor Restaurant,"79 South Abbott Avenue, Milpitas, CA, 95035",(408) 649-3307,restaurant,ATTEMPTED - no likely owned-site hit,,"We bring to your attention the most complete list of Cafe in Dublin (dublin.calstatedir.com) | Casa Orozco - Dublin at 2307, 7995 Amador Valley Boulevard... (dublin.calstatedir.com)"
822,Apt.Li Xiang Restaurant,"290 Barber Court, Milpitas, CA, 95035",(408) 955-9588,restaurant,ATTEMPTED - no likely owned-site hit,,"Bakery in Dublin - reviews, addresses and phone numbers (dublin-ca.california-list.com) | Bagel Bakery of Dublin - Dublin, CA 94568 - (925)829-5434 ... (showmelocal.com) | Bagel Bakery of Dublin, Dublin - Menu, Reviews (124), Photos ...Bagel Bakery of Dublin - Dublin, CA - checkle.comBagel Bakery of Dublin - Dublin, CA 94568 - The Real Yellow PagesBagel Bakery of Dublin menu - Dublin CA 94568 - (925) 829-5434Bagel Bakery of Dublin in Dublin, CA – Reviews, Hours, and ...BAGEL BAKERY OF DUBLIN - Updated May 2026 - Yelp (restaurantji.com) | Bagel Bakery of Dublin - Dublin, CA - checkle.com (checkle.com) | Bagel Bakery of Dublin - Dublin, CA 94568 - The Real Yellow Pages (yellowpages.com)"
823,Hair.Com,"316 Barber Court, Milpitas, CA, 95035",(408) 321-8288,hairdresser,ATTEMPTED - no likely owned-site hit,,"Young Dong Tofu House in Dublin, CA 94568 - 925-551... (chamberofcommerce.com) | Young Dong Tofu House - Dublin, CA 94568 - The Real Yellow PagesYoung Dong Tofu House - Updated November 2025YOUNG DONG TOFU HOUSE - Updated December 2025 - YelpTofu House - Visit Tri-ValleyYOUNG DONG TOFU HOUSE - Updated May 2026 - YelpYoung Dong Tofu House Dublin CA, 94568 – Manta.com (yellowpages.com) | Young Dong Tofu House - Updated November 2025 (checkle.com) | YOUNG DONG TOFU HOUSE - Updated December 2025 - Yelp (yelp.com) | Tofu House - Visit Tri-Valley (visittrivalley.com)"
824,Dreamhair Beauty Salon,"398 Barber Court, Milpitas, CA, 95035",(408) 321-9998,beauty,ATTEMPTED - no likely owned-site hit,,"G-JEN HSU, DDS - Updated May 2026 - 14 Reviews - YelpDr. Hsu DDS Dublin CA - ehealthscores.comNPI 1386863918 Dr. G-jen Hsu, DDS in Dublin - Contact and AddressHsu, G-jen - G-Jen Hsu, DDS in Dublin, CA – Reviews, Hours ...DR. G-JEN HSU | MedSealDr. G-jen Hsu - Dentist in Dublin, CA - Best Dentists of USDr G-jen Hsu, DDS - Dentist in Dublin, CA (yelp.com) | Dr. Hsu DDS Dublin CA - ehealthscores.com (ehealthscores.com) | NPI 1386863918 Dr. G-jen Hsu, DDS in Dublin - Contact and AddressHsu, G-jen - G-Jen Hsu, DDS in Dublin, CA – Reviews, Hours ...DR. G-JEN HSU | MedSealDr. G-jen Hsu - Dentist in Dublin, CA - Best Dentists of USDr G-jen Hsu, DDS - Dentist in Dublin, CA (npino.com) | Hsu, G-jen - G-Jen Hsu, DDS in Dublin, CA – Reviews, Hours ... (local.yahoo.com) | DR. G-JEN HSU | MedSeal (medseal.app)"
825,AikoNails,"792 Barber Lane, Milpitas, 95035",(669) 266-8285,beauty,ATTEMPTED - search error,,ERROR: No results found.
826,Mina's Korean BBQ,"3730 North 1st Street, San Jose, 95134",(408) 433-2270,restaurant,ATTEMPTED - search error,,ERROR: No results found.
827,Easterly Hunan Cuisine,"3927 Rivermark Plaza, Santa Clara, CA, 95054",(408) 748-3355,restaurant,ATTEMPTED - search error,,ERROR: No results found.
828,New Camau,"3775 Lafayette Street, 95054",(408) 988-1883,fast_food,ATTEMPTED - search error,,ERROR: No results found.
829,Amakai,"4300 Great America Parkway, Santa Clara, California, 95054 (reverse-geocoded approximate)",(408) 988-2555,restaurant,ATTEMPTED - search error,,ERROR: No results found.
830,Amazing Cuts,"613 West Tasman Drive, Sunnyvale, CA, 94089",(408) 746-5758,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
831,Lakewood Dental Care,1153 Lawrence Expressway,(408) 541-1900,dentist,ATTEMPTED - search error,,ERROR: No results found.
832,Hunan Mifen Chinese Rice Noodles,1149 Lawrence Expressway,(408) 734-8898,restaurant,ATTEMPTED - search error,,ERROR: No results found.
833,Hi Nail Salon & Eyelash,"546 Lawrence Expressway, Sunnyvale, CA, 94085",(408) 830-9594,beauty,ATTEMPTED - search error,,ERROR: No results found.
834,HR Beauty Salon,"933 East Duane Avenue, Sunnyvale, CA, 94085",(408) 400-0629,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
835,Bagel Street Cafe,346 West Maude Avenue,(408) 738-1856,cafe,ATTEMPTED - search error,,ERROR: No results found.
836,Alpha Barbershop,"472 North Mathilda Avenue, Sunnyvale, CA, 94085",(408) 738-8389,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
837,Hendy Auto Services,111 North Sunnyvale Avenue,(408) 738-1916,car_repair,ATTEMPTED - no likely owned-site hit,,"Best 30 Hair Removal in Milpitas, CA with... | The Real Yellow Pages (yellowpages.com) | Best 30 Nail Salons in Milpitas, CA with... | The Real Yellow Pages (yellowpages.com) | Best 30 Hair Stylists in Milpitas, CA with... | The Real Yellow Pages (yellowpages.com) | Best 4 His N Hers Hair in Milpitas, CA | The Real Yellow Pages (yellowpages.com) | Best 30 Massage Services in Milpitas, CA... | The Real Yellow Pages (yellowpages.com)"
838,TJ Automotive,"135 North Wolfe Road, Sunnyvale, CA, 94086",(408) 773-0710,car_repair,ATTEMPTED - search error,,ERROR: No results found.
839,Famous Food Restaurant,872 Old San Francisco Road,(408) 738-3388,restaurant,ATTEMPTED - search error,,ERROR: No results found.
840,Taqueria Patzcuaro,"603 Old San Francisco Road, Sunnyvale, CA, 94086",(408) 469-1228,fast_food,ATTEMPTED - search error,,ERROR: No results found.
841,Noodle Talk,150 West El Camino Real,(408) 530-0156,restaurant,ATTEMPTED - search error,,ERROR: No results found.
842,TC Accounting,"510 South Mathilda Avenue, Sunnyvale, CA",(408) 736-0777,accountant,ATTEMPTED - search error,,ERROR: No results found.
843,Lozano's Brushless Car Wash,"610 Grape Avenue, Sunnyvale, CA, 94087",(408) 245-7737,car_wash,ATTEMPTED - search error,,ERROR: No results found.
844,Sunny Beauty Salon & Nails,"1173 West El Camino Real, Sunnyvale, CA, 94087",(408) 732-6218,hairdresser,ATTEMPTED - no likely owned-site hit,,""" (en.wikipedia.org)"
845,"Liem Tran, DDS",805 East El Camino Real,(650) 254-1436,dentist,ATTEMPTED - search error,,ERROR: No results found.
846,ICON Wintow Tint,"101 East El Camino Real, Mountain View, CA, 94040",(650) 669-7722,car_repair,ATTEMPTED - no likely owned-site hit,,"(408) 942-1XXX San Jose, CA Phone Book + (408) 942-1XXX Phone... (callersmart.com)"
847,NAR,286 West El Camino Real,(650) 226-7900,restaurant,ATTEMPTED - search error,,ERROR: No results found.
848,KJ's Cafe,"12345 El Monte Road, Los Altos Hills, CA, 94022",(650) 949-7727,cafe,ATTEMPTED - search error,,ERROR: No results found.
849,Tammy Salon,387,(650) 949-4675,beauty,ATTEMPTED - search error,,ERROR: No results found.
